t,point_id,theta_rad,rho,boundary_lon_idx,boundary_lat_idx
0.0,0,-3.141592653589793,1.4261238523271045,8.573876147672895,10.0
0.0,1,-2.0943951023931957,2.136430420994351,8.931784789502824,8.149796982001009
0.0,2,-1.0471975511965979,5.694932098648815,12.847466049324407,5.068044129742699
0.0,3,0.0,8.57375469333076,18.57375469333076,10.0
0.0,4,1.0471975511965974,5.694932098648816,12.84746604932441,14.931955870257301
0.0,5,2.094395102393195,2.136430420994352,8.931784789502824,11.850203017998993
1.0,0,-3.141592653589793,1.420448856371711,8.367419109272324,9.787867965644036
1.0,1,-2.0943951023931957,2.1297163410478404,8.723009795120115,7.943479511441764
1.0,2,-1.0471975511965979,5.693845706546392,12.634790818917232,4.856852938545905
1.0,3,0.0,8.579429415909386,18.36729738155342,9.787867965644036
1.0,4,1.0471975511965974,5.693845706546393,12.634790818917235,14.718882992742168
1.0,5,2.094395102393195,2.1297163410478412,8.723009795120117,11.63225641984631
2.0,0,-3.141592653589793,1.9780885508135275,7.597647380474545,9.575735931288072
2.0,1,-2.0943951023931957,2.745908724714122,8.20278156893101,7.197709219212312
2.0,2,-1.0471975511965979,5.756473883726454,12.453972873151299,4.590483311759294
2.0,3,0.0,8.021815364143567,17.59755129543164,9.575735931288072
2.0,4,1.0471975511965974,5.756473883726456,12.453972873151303,14.560988550816852
2.0,5,2.094395102393195,2.745908724714123,8.202781568931012,11.953762643363834
3.0,0,-3.141592653589793,1.4199945557753983,7.94360934115671,9.363603896932108
3.0,1,-2.0943951023931957,2.129178428674251,8.299014682594983,7.519681288510374
3.0,2,-1.0471975511965979,5.693758301529275,12.210483047696746,4.432664564799218
3.0,3,0.0,8.579883694610022,17.94348759154213,9.363603896932108
3.0,4,1.0471975511965974,5.693758301529277,12.210483047696748,14.294543229064999
3.0,5,2.094395102393195,2.129178428674252,8.299014682594983,11.207526505353846
4.0,0,-3.141592653589793,1.4207431113208688,7.730728751255276,9.151471862576145
4.0,1,-2.0943951023931957,2.130064718121708,8.08643950351529,7.306781704977807
4.0,2,-1.0471975511965979,5.693902285107758,11.998423005130023,4.22040783700656
4.0,3,0.0,8.579135175141397,17.73060703771754,9.151471862576145
4.0,4,1.0471975511965974,5.69390228510776,11.998423005130027,14.08253588814573
4.0,5,2.094395102393195,2.1300647181217087,8.086439503515292,10.996162020174484
5.0,0,-3.141592653589793,1.998833809277869,6.940506018942312,8.93933982822018
5.0,1,-2.0943951023931957,2.767271365534272,7.555704145453044,6.542812526502248
5.0,2,-1.0471975511965979,5.757223787658789,11.817951722049575,3.9534377728356027
5.0,3,0.0,8.001071012075874,16.940410840296053,8.93933982822018
5.0,4,1.0471975511965974,5.7572237876587895,11.817951722049578,13.925241883604759
5.0,5,2.094395102393195,2.7672713655342736,7.555704145453046,11.335867129938116
6.0,0,-3.141592653589793,1.6665896761467998,7.060618117717417,8.727207793864217
6.0,1,-2.0943951023931957,2.4121516120433455,7.521131987842544,6.638223220055094
6.0,2,-1.0471975511965979,5.732072109795028,11.59324384876173,3.7630877304574586
6.0,3,0.0,8.333300218659375,17.06050801252359,8.727207793864217
6.0,4,1.0471975511965974,5.7320721097950305,11.593243848761734,13.691327857270977
6.0,5,2.094395102393195,2.412151612043347,7.521131987842545,10.816192367673342
7.0,0,-3.141592653589793,1.9215984685858345,6.593477290922419,8.515075759508253
7.0,1,-2.0943951023931957,2.6872081713558758,7.171471673830315,6.1878852178569375
7.0,2,-1.0471975511965979,5.753896477840079,11.392023998428293,3.532055238952939
7.0,3,0.0,8.078302960926898,16.59337872043515,8.515075759508253
7.0,4,1.0471975511965974,5.75389647784008,11.392023998428295,13.498096280063567
7.0,5,2.094395102393195,2.6872081713558775,7.171471673830316,10.84226630115957
8.0,0,-3.141592653589793,1.4229829922245671,6.879960732927723,8.30294372515229
8.0,1,-2.0943951023931957,2.1327157020710743,7.236585874116752,6.455957748108775
8.0,2,-1.0471975511965979,5.694332074243159,11.150109762273868,3.371507491273177
8.0,3,0.0,8.576895402162855,16.879839127315144,8.30294372515229
8.0,4,1.0471975511965974,5.694332074243161,11.150109762273871,13.234379959031402
8.0,5,2.094395102393195,2.132715702071075,7.236585874116753,10.149929702195806
9.0,0,-3.141592653589793,1.6448311259081045,6.445980564888221,8.090811690796325
9.0,1,-2.0943951023931957,2.387883232298292,6.896870074647179,6.022844150355107
9.0,2,-1.0471975511965979,5.729400761621531,10.95551207160709,3.129005082770168
9.0,3,0.0,8.35505776083283,16.445869451629157,8.090811690796325
9.0,4,1.0471975511965974,5.729400761621532,10.955512071607092,13.052618298822482
9.0,5,2.094395102393195,2.3878832322982935,6.89687007464718,10.158779231237546
10.0,0,-3.141592653589793,1.4228763708186487,6.4558032856217125,7.878679656440362
10.0,1,-2.0943951023931957,2.132589546716208,6.812384883082257,6.031802933138985
10.0,2,-1.0471975511965979,5.694311651307514,10.725835482094118,2.947261109342338
10.0,3,0.0,8.577002018432289,16.45568167487265,7.878679656440362
