cell_id,lon_idx,lat_idx,center_lon,center_lat,n_points,mean_speed,std_speed,median_speed,min_speed,max_speed,mean_direction,mean_u,mean_v,mean_temperature,mean_pressure,mean_humidity,mean_height,landmask
0,0,0,-97.23451,20.311096,36,3.892164589541299,0.7224057690525448,4.0756871458131005,1.479852604359372,4.789441850001934,238.03705394511547,3.215541520899657,2.0064030019713077,302.61984,99452.44,0.018471843,95.240265,1.0
1,1,0,-97.050064,20.311096,36,3.642698021539634,0.18782867549301463,3.668780816607276,3.313183826080151,3.98413700599818,230.79908440076792,2.8025756979961707,2.2857995416258756,302.36606,99862.086,0.018666325,57.386246,1.0
2,2,0,-96.8656,20.311096,36,3.420898298906681,0.32456755186461766,3.4170014724670814,2.8643674622207485,3.993361874976367,230.03643102291682,2.6124490973673518,2.1892759170841747,302.27786,100428.59,0.019062918,7.411887,1.0
3,3,0,-96.68114,20.311096,36,3.646101354083459,0.47652662535051205,3.66799123971889,2.83212620991656,4.425274766519693,218.43018427064217,2.253386849443266,2.8399918473482133,302.28903,100523.41,0.01898747,0.16414101,0.0
4,4,0,-96.49669,20.311096,36,4.362891423118163,0.10209049701070146,4.361921095408801,3.9634922730749285,4.570087259604015,207.854853318926,2.0359406935240787,3.852560436690738,302.3456,100521.65,0.019282158,0.034576505,0.0
5,5,0,-96.312225,20.311096,36,4.123827109244065,0.22610228405774555,4.1329148686707295,3.698555343716104,4.569145193547018,200.65219581399535,1.450824905459485,3.849206304479386,302.27023,100528.766,0.019740948,0.00075823755,0.0
6,6,0,-96.12778,20.311096,36,3.607489256564046,0.17961846910050597,3.5827685354002705,3.350621351132334,4.112664764002916,191.33702647537737,0.7071308159987465,3.52698050721403,302.15076,100546.625,0.020172385,0.0,0.0
7,7,0,-95.94331,20.311096,36,3.5420422210899134,0.11974797197438465,3.5469587701016287,3.3400096865209563,3.720082545571095,184.4797078872215,0.27642927481368085,3.5283426963868805,302.1034,100563.25,0.020429738,0.0,0.0
8,8,0,-95.75886,20.311096,36,3.9760544030279994,0.1784346690361524,3.9631627844701742,3.695604831217598,4.407603082192109,183.42361020931236,0.23736341842544903,3.9676632092052904,302.16016,100564.91,0.020376816,0.0,0.0
9,9,0,-95.5744,20.311096,36,4.5316621181348316,0.17057780776710887,4.5520069991624315,4.123633001880812,4.734334076385534,184.31048396846555,0.3404368334700689,4.516611188064397,302.16504,100559.36,0.020346627,0.0,0.0
10,10,0,-95.38994,20.311096,36,4.6305617226752975,0.10294072521262668,4.646852849944334,4.457069773332963,4.820380244103056,180.9132032685088,0.07376347012845794,4.627641823502104,302.13815,100564.984,0.020500904,0.0,0.0
11,11,0,-95.20549,20.311096,36,4.059875240988117,0.2353304596731898,4.039847105728898,3.655043539919498,4.542016585750442,175.21912310883596,-0.3378030908470014,4.038955926630482,302.1689,100577.99,0.020023275,0.0,0.0
12,12,0,-95.02103,20.311096,30,3.4495298669649914,0.15506339624013332,3.4519298976938506,3.209420907816247,3.730134053337273,173.1965304118169,-0.4081272136219132,3.420895666928575,302.16718,100583.59,0.019898247,0.0,0.0
13,13,0,-94.83657,20.311096,36,3.2673585867560195,0.19602709610099855,3.2482704574840415,2.9558716624193933,3.6465072247791332,169.5806944990212,-0.588989620327222,3.203073189850766,302.09073,100589.0,0.020095566,0.0,0.0
14,14,0,-94.652115,20.311096,36,3.6372159581901986,0.24914230511953173,3.5597054479026697,3.3084262732623686,4.174663950906082,153.28148567726413,-1.627221998211334,3.232768000735974,302.11108,100597.555,0.020171236,0.0,0.0
15,15,0,-94.46765,20.311096,36,3.1081630619714335,0.3488140262736918,2.977319089850104,2.7341783663889827,4.272744400068983,145.20134672673402,-1.7710716530584352,2.5483659642289815,302.22037,100606.47,0.01990926,0.0,0.0
16,16,0,-94.2832,20.311096,36,2.7676544721105274,0.10936863822311285,2.7587354636514414,2.6101129357051907,2.9620997954149844,134.7641385715414,-1.9596356174629497,1.9435677616333986,302.28345,100612.77,0.019424945,0.0,0.0
17,17,0,-94.09874,20.311096,36,2.718505582387297,0.14663100885521108,2.6851922207320857,2.478727943938878,3.015509301594392,130.8018587134623,-2.053611619662485,1.7727462602215056,302.25964,100619.56,0.019515622,0.0,0.0
18,18,0,-93.91429,20.311096,36,3.0517254055349414,0.1434494213828644,3.0581260174119613,2.7553825113634787,3.473133334854105,131.74319947807936,-2.2578743436567326,2.014748475000803,302.34564,100630.18,0.018926064,0.0,0.0
19,19,0,-93.72983,20.311096,36,2.3907908860981255,0.43079426386178177,2.4491651535730004,1.4426599565705995,3.2157491022371576,138.568520373734,-1.5747624984531505,1.7842402859729694,302.22888,100636.62,0.019686118,0.0,0.0
20,20,0,-93.545364,20.311096,36,1.7093993843215571,0.20346895861617245,1.6631621889350208,1.323032006947727,2.401924917933258,108.54691720965847,-1.568671101042642,0.5262987290722438,302.2689,100636.61,0.01964094,0.0,0.0
21,21,0,-93.360916,20.311096,36,1.8045532215883808,0.39553523803629304,1.808286036590899,0.8212637392742452,2.643907970686621,99.38925812573255,-1.7702281630045489,0.29271840252970693,302.3344,100635.98,0.019549394,0.0,0.0
22,22,0,-93.17645,20.311096,36,2.205843139130508,0.4740311806739802,2.1369199477296066,1.2813404019671657,3.250912197754768,87.58005367988096,-2.177636725354211,-0.09202946200769242,302.18182,100640.34,0.01984089,0.0,0.0
23,23,0,-92.992004,20.311096,36,2.4257797231681835,0.21305374363753513,2.4589031142824296,1.915791032311884,2.76641878562471,84.39088037554524,-2.407325378857753,-0.23642717485826661,302.30283,100641.016,0.01950421,0.0,0.0
24,24,0,-92.80754,20.311096,30,2.755188903086832,0.28379713130408313,2.853209846755694,2.0533970496387046,3.1155582080455813,86.87197179499955,-2.744063816615291,-0.14995951044455208,302.21136,100639.945,0.02000552,0.0,0.0
25,25,0,-92.623085,20.311096,36,2.8390162810012054,0.1523716248283849,2.819100617276307,2.541120313104723,3.226994095831581,94.43654872081372,-2.826733637675908,0.21931922535259896,302.24017,100645.34,0.019885194,0.0,0.0
26,26,0,-92.43863,20.311096,36,2.777069480192804,0.17367041061983393,2.7643242792069707,2.455744097135791,3.217588017695459,88.91938408280257,-2.7644344448565885,-0.052144261641582784,302.26602,100653.445,0.01984825,0.0,0.0
27,27,0,-92.254166,20.311096,36,2.5814748202261137,0.08398004567182932,2.591751282839203,2.4000363053592464,2.750336782396675,79.25333258594483,-2.527509950055099,-0.47971044848631017,302.04764,100659.9,0.02025163,0.0,0.0
28,28,0,-92.06972,20.311096,36,2.299084175348912,0.12303719654337814,2.3155924665130465,2.0628294612918565,2.5073237126999355,69.28681236114878,-2.1381372401165155,-0.8084971846090306,301.8757,100660.46,0.019232055,0.0,0.0
29,29,0,-91.885254,20.311096,36,2.3058097277883687,0.11967679598859635,2.335881625739795,2.098627438610055,2.527548693197659,54.00664465499206,-1.81161165928853,-1.315891945745443,301.5922,100661.37,0.019676132,0.0,0.0
30,30,0,-91.7008,20.311096,36,2.2362634553577583,0.13206772930221064,2.1985784394586174,1.953250061109222,2.5244664046207124,60.52247528885984,-1.9318449923659549,-1.091985158627776,301.64328,100662.7,0.020261096,0.0,0.0
31,31,0,-91.51634,20.311096,36,2.607460982500185,0.3024524393190814,2.6152491142579892,2.033271293014293,3.1168946341975676,83.6010515245457,-2.5704297503635294,-0.2882721250531294,301.7953,100655.36,0.019654237,0.0,0.0
32,32,0,-91.33188,20.311096,36,3.1357774718734603,0.1499230381455809,3.157917582219528,2.8468735501382954,3.3834972062329727,98.69922118671559,-3.0830019359530465,0.4717227019491071,301.5973,100654.34,0.020654108,0.0,0.0
33,33,0,-91.14743,20.311096,36,3.1215171382125395,0.24182152475084848,3.15149096465401,2.4735268586040604,3.4629233711383374,114.27636029459846,-2.8388355417402305,1.2803735957428788,301.3202,100656.125,0.020242998,0.0,0.0
34,34,0,-90.96297,20.311096,36,2.29905262202677,0.5554345203542529,2.0910830824822684,1.5922368028821532,3.370536851184064,128.51577466618662,-1.7741350126171187,1.4120083935439163,300.24387,100650.53,0.020416511,0.0,0.0
35,35,0,-90.77851,20.311096,36,1.9002811753735902,0.2455958687811159,1.8951899223749984,1.5184563070035921,2.354483815957299,162.3942127685445,-0.5727620263034728,1.8049421108824655,299.20865,100653.34,0.019886553,0.0,0.0
36,36,0,-90.594055,20.311096,36,2.336552131293997,0.18651844883856972,2.3635697228950914,1.8291297791442485,2.670863461607438,167.99907950503177,-0.48463229304720723,2.2798355750843906,298.95044,100661.805,0.01912926,0.010163816,0.0
37,37,0,-90.40959,20.311096,30,1.7735274084877146,0.1487609406380235,1.7643056422839773,1.5302580648833952,2.326756898725372,140.21062528929485,-1.1173191454122375,1.3415538953422959,300.82806,100642.72,0.01874351,2.6421037,1.0
38,38,0,-90.22514,20.311096,36,1.0682966119634327,0.509673913489054,0.9351546872590226,0.3895230157178344,2.104138421975789,186.48285339957502,0.089279389821254,0.7856855570688328,302.9292,100610.7,0.019417277,6.303991,1.0
39,39,0,-90.04068,20.311096,36,1.1078666959067682,0.6145847821067801,1.0348137001659365,0.2500257230052346,2.3048416568625165,239.21735611235914,0.8124557622557136,0.4839873295159955,302.80118,100379.85,0.01957656,28.119099,1.0
40,40,0,-89.85623,20.311096,36,1.3181353013114923,0.4068433014961957,1.3569198876746202,0.6338330983079492,2.097963165164554,224.27909366001458,0.8511696359776013,0.8728628841623595,301.89508,100021.03,0.01961653,58.91265,1.0
41,41,0,-89.67177,20.311096,36,1.8501375217131613,0.8143455425711426,1.5813271319095992,0.9035333712468537,3.787504225390443,224.8612216553189,1.2725153322323546,1.2786947298203861,302.25452,99930.81,0.020390157,66.48813,1.0
42,42,0,-89.487305,20.311096,36,2.59466433002107,0.7257682465398698,2.460633975101066,1.2987274176868082,4.172864838685467,233.53054045910488,1.969091719540989,1.455427583876061,302.29565,100016.625,0.020442061,60.63179,1.0
43,43,0,-89.30286,20.311096,36,2.675455442337338,0.37751797459215325,2.7144546060206265,1.7931879738519965,3.5663149625127653,257.9494380040949,2.5048924712733527,0.5347421369035805,302.67847,100365.91,0.020701284,31.84672,1.0
44,44,0,-89.11839,20.311096,36,2.440699787201696,0.46809459226472666,2.3535764148948006,1.7406990269284088,3.577820199397976,275.56139840884833,2.424524425954899,-0.23607764070917506,302.48517,100425.2,0.021266837,28.463205,1.0
45,45,0,-88.933945,20.311096,36,2.089660207518941,0.47752428722359597,2.0044506514669074,1.3136526437429819,2.9502519760246555,252.8097235940113,1.9303556702513558,0.5971859271137202,302.26492,100440.26,0.021755038,28.899937,1.0
46,46,0,-88.74948,20.311096,36,2.5803759724859745,0.24806209008791705,2.615354054143773,1.9190072882587552,3.2810367294867193,257.860157973073,2.432900103480329,0.5233383832144302,301.83554,100429.266,0.021484965,30.797434,1.0
47,47,0,-88.565025,20.311096,36,2.647856822131305,0.5859823278464462,2.617226417409504,1.416080717284631,3.5871628470375234,281.58159600374876,2.4691150297790214,-0.5060100577510639,301.59647,100426.29,0.020974271,31.894287,1.0
