cell_id,n_points,distribution,bic_1component,bic_2component,delta_bic,lon_idx,lat_idx,center_lon,center_lat,mean_speed,std_speed
0.0,36,unimodal,85.91849531873054,81.39575890689484,4.5227364118356945,0,0,-97.23451,20.311096,3.892164589541299,0.7224057690525448
1.0,36,unimodal,-11.069590036870599,-5.8331495397704,-5.236440497100199,1,0,-97.050064,20.311096,3.642698021539634,0.1878286754930146
2.0,36,unimodal,28.311777620299438,36.01989051013887,-7.708112889839434,2,0,-96.8656,20.311096,3.420898298906681,0.3245675518646176
3.0,36,unimodal,55.96193126963202,59.967699270351986,-4.005768000719968,3,0,-96.68114,20.311096,3.646101354083459,0.476526625350512
4.0,36,unimodal,-54.96587317541033,-56.55585820079074,1.5899850253804075,4,0,-96.49669,20.311096,4.362891423118163,0.1020904970107014
5.0,36,unimodal,2.2833308351722366,11.241920713411233,-8.958589878238996,5,0,-96.312225,20.311096,4.123827109244065,0.2261022840577455
6.0,36,unimodal,-14.287648866198348,-8.429846327803109,-5.857802538395239,6,0,-96.12778,20.311096,3.607489256564046,0.1796184691005059
7.0,36,unimodal,-43.4797380845998,-38.84844351862483,-4.631294565974969,7,0,-95.94331,20.311096,3.5420422210899134,0.1197479719743846
8.0,36,unimodal,-14.763745322496765,-9.005264121330494,-5.758481201166271,8,0,-95.75886,20.311096,3.9760544030279994,0.1784346690361524
9.0,36,unimodal,-18.005976689740947,-24.811619289014825,6.805642599273877,9,0,-95.5744,20.311096,4.531662118134832,0.1705778077671088
10.0,36,unimodal,-54.368727236175474,-50.06643200930259,-4.302295226872886,10,0,-95.38994,20.311096,4.6305617226752975,0.1029407252126266
11.0,36,unimodal,5.163565303373467,11.079283358319772,-5.915718054946305,11,0,-95.20549,20.311096,4.059875240988117,0.2353304596731898
12.0,30,unimodal,-19.8965674794319,-14.149626569432087,-5.7469409099998146,12,0,-95.02103,20.311096,3.4495298669649914,0.1550633962401333
13.0,36,unimodal,-7.993559360484905,-1.9799100552600954,-6.01364930522481,13,0,-94.83657,20.311096,3.2673585867560195,0.1960270961009985
14.0,36,unimodal,9.269977445533165,8.36416352407798,0.9058139214551844,14,0,-94.652115,20.311096,3.6372159581901986,0.2491423051195317
15.0,36,bimodal,33.49903328217005,15.8448838500247,17.654149432145353,15,0,-94.46765,20.311096,3.1081630619714335,0.3488140262736918
16.0,36,unimodal,-50.007626865113465,-49.57739300035735,-0.4302338647561186,16,0,-94.2832,20.311096,2.7676544721105274,0.1093686382231128
17.0,36,unimodal,-28.897579098587528,-22.53853542462291,-6.359043673964617,17,0,-94.09874,20.311096,2.718505582387297,0.146631008855211
18.0,36,unimodal,-30.47702714017661,-27.146899958480912,-3.3301271816956977,18,0,-93.91429,20.311096,3.0517254055349414,0.1434494213828644
19.0,36,unimodal,48.69763754934248,56.887551213045015,-8.189913663702534,19,0,-93.72983,20.311096,2.3907908860981255,0.4307942638617817
20.0,36,unimodal,-5.310798995646691,0.8298828806593015,-6.140681876305992,20,0,-93.545364,20.311096,1.7093993843215571,0.2034689586161724
21.0,36,unimodal,42.549503590318096,51.76419972388429,-9.214696133566193,21,0,-93.360916,20.311096,1.8045532215883808,0.395535238036293
22.0,36,unimodal,55.583895492470155,66.22856204247545,-10.64466655000529,22,0,-93.17645,20.311096,2.205843139130508,0.4740311806739802
